Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
ACT Alliance,act_alliance,2,1,2,1,1,7729,CH-FDJP-66006990023,2,NL-KVK-813612809;XI-IATI-CH-FDJP-66006990023,1,1
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,27,1,3,2,1,342365,BE-BCE_KBO-0424198222,1,BE-BCE_KBO-0424198222,2,1;2
ACTED,acted,4,1,5,4,1,62957,FR-SIRET-4028868160030,2,FR-RCS-402886816;FR-SIRET-4028868160030,1,1
Association of Commonwealth Universities,acu,37,0,1,1,0,171168,GB-CHC-314137,1,GB-CHC-314137,1,1
Acumen,acumen,8,0,1,1,0,56261,US-EIN-134166228,1,US-EIN-134166228,1,1
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,acwfs_vu,7,1,2,1,1,31999,NL-KVK-53815211,1,NL-KVK-53815211,1,1
Akili Dada,ad,9,0,1,1,0,100099,KE-NCB-218051200602584403,1,KE-NCB-218051200602584403,1,1
Auto-Développement Afrique (ADA),ada,3,1,2,1,1,50720,BE-BCE_KBO-0408095925,1,BE-BCE_KBO-0408095925,2,1;2
ADD International (Action on Disability and Development),addinternational,25,1,15,14,1,382836,GB-COH-294860,1,GB-COH-294860,2,0;null
Adili Solar Hubs Limited,adili_sh,1,0,1,1,0,3992,KE-KRA-P051883897F,1,KE-KRA-PVT-Q7UYY2K,1,1
Commune de Adja-Ouere - Bénin,adja-ouere,1,1,2,1,1,91609,BJ-IFU-6200901944008,1,BJ-IFU-6200901944008,1,null
Commune de Adjarra - Bénin,adjarra,1,1,2,1,1,29471,BJ-IFU-6201810251129,1,null,1,null
Commune de Adjohoun - Bénin,adjohoun,1,1,2,1,1,81935,BJ-IFU-5200801335602,1,BJ-IFU-5200801335602,1,null
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,1,0,1,1,0,3028,mz-moj-64vq1,1,mz-moj-64vq1,1,1
ADRA Denmark,adra-dk,10,1,2,1,1,92053,DK-CVR-20074035,1,DK-CVR-20074035,1,1
"Adventist Development and Relief Agency, Nepal",adra_nepal,2,1,3,2,1,7320,NP-IRD-302113730,1,XI-IATI-NP-IRD-302113730,1,1
Adventist Development and Relief Agency (ADRA Somalia),adrasom,2,0,2,2,0,92885,KE-NGC-663,1,KE-NGC-663,1,null
ADRA-UK,adrauk,5,1,2,1,1,97414,GB-CHC-1074937,1,GB-CHC-1074937,3,0;1;null
ADS-Nyanza,ads-nyanza,1,0,1,1,0,24888,KE-RCO-78260,1,KE-RCO-78260,1,null
Atradius Dutch State Business,adsb,105,1,2,1,1,264143,NL-KVK-33226495,1,NL-KVK-33226495,1,1
Spanish Agency for International Development Cooperation (AECID),aecid,3387,1,100,99,1,15773268,XM-DAC-50-21,2,ES-DIR3-EA0045628;XM-DAC-50-21,1,null
AECOM,aecom,64,0,1,1,0,99857,GB-COH-01846493,2,GB-COH-01846493;GB-COH-GB-COH-01846493,1,1
Aeras,aeras,1,1,2,1,1,53829,US-EIN-522044704,1,US-EIN-522044704,1,1
Africa Educational Trust,aet,3,1,2,1,1,32973,GB-CHC-313139,1,GB-CHC-313139,2,1;null
Adaptation Fund,af,30,0,1,1,0,142953,XM-DAC-47111,1,47111,1,null
Agence Française de Développement,afd,2315,5,82,81,1,15212139,FR-3,1,FR-3,2,1;2
African Development Bank,afdb,4417,1,56,55,1,154150796,XM-DAC-46002,1,XM-DAC-46002,1,1
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,0,1,1,0,1,831,FR-INSEE-31827645800037,1,FR-SIRET-31827645800037,0,
AFELT,afelt,1,1,2,1,1,8934,KE-KRA-P051713416W,1,KE-KRA-P051713416W,1,1
Arab foundation for freedoms and equality,afemena,4,0,1,1,0,54888,LB-MOI-18291,1,LB-MOI-18291,1,1
AFEW International,afewinternational,6,0,1,1,0,133926,NL-KVK-34148682,1,NL-KVK-34148682,1,2
Afghanaid,afghanaid,6,0,1,1,0,10163858,GB-CHC-1045348,1,GB-CHC-1045348,1,1
African Institute For Development Policy,afidep,0,1,1,0,1,691,KE-KRA-P051335339D,1,KE-KRA-P051335339D,0,
Stichting Aflatoun International,aflatoun,0,0,0,0,0,0,NL-KVK-34229026,0,,0,
Africalia,africalia,19,1,3,2,1,287764,BE-BCE_KBO-0474198059,1,BE-BCE_KBO-0474198059,2,1;2
African Parks Network,african_parks,14,0,1,1,0,25603,ZA-CIP-2007-0308903-08,1,ZA-CIP-2007-0308903-08,1,1
African Revival,africanrevival,1,0,1,1,0,4411,GB-CHC-1108718,1,GB-CHC-1108718,1,1
Afrikagrupperna Sweden,afrikagrupperna,53,0,1,1,0,332190,SE-ON-802007-2446,1,SE-ON-802007-2446,1,null
AfriKids,afrikids,4,1,2,1,1,81578,GB-CHC-1141028,1,GB-CHC-1141028,2,0;1
American Friends Service Committee,afsc,0,0,0,0,0,0,US-EIN-23-1352010,0,,0,
AgDevCo,agdevco,53,0,1,1,0,128311,GB-COH-07026479,1,GB-COH-07026479,1,1
HelpAge International UK,ageintl,53,1,2,1,1,376304,GB-CHC-1128267-8,1,GB-CHC-1128267-8,1,1
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,1,1,2,1,1,43056,MZ-NUIT-50039061,1,MZ-NUIT-50039061,1,5
Alliance for a Green Revolution for Africa,agra,1,1,2,1,1,7311,US-EIN-98-0513530,1,US-EIN-98-0513530,1,1
AgResults Initiative,agresults,11,1,12,11,1,31211,XI-IATI-AGR,1,XI-IATI-AGR,1,1
The AGRI3 Fund,agri3_fund,15,1,2,1,1,37969,NL-KVK-72908114,1,NL-KVK-72908114,1,1
Stichting Agriterra,agriterra,1834,1,3,2,1,30372958,NL-KVK-41048542,1,NL-KVK-41048542,3,1;2;3
Agroicone,agroicone,0,0,0,0,0,0,BR-CNPJ-09294138-0001-15,0,,0,
Agsol Limited,agsollimited,2,1,2,1,1,13574,HK-CR-2436455,1,HK-CR-2436455,1,1
"Alliance for Global Water Adaptation, Inc",agwa,1,0,1,1,0,8377,US-EIN-83-3732786,1,US-EIN-833732786,1,1
Academy for Health Development (AHEAD),ahead,1,1,2,1,1,11790,NG-CAC-692943,1,NG-CAC-692943,1,1
African Initiatives,ai_1064413,3,1,2,1,1,54414,GB-CHC-1064413,2,GB-CHC-1064413;null,1,1
Administração de Infra-Estruturas de Águas e Saneamento,aias,2,0,1,1,0,56929,MZ-NUIT-700098168,1,MZ-NUIT-700098168,1,1
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,3090,1,85,84,1,31239062,XM-DAC-6-4,1,XM-DAC-6-4,1,1
AidData,aiddata,22739,0,18,18,0,60290526,US-501c3-522318905,1,US-501c3-522318905,1,null
Stichting Aidenvironment,aidenvironment,18,0,6,6,0,532603,NL-KVK-41208024,1,NL-KVK-41208024,1,1
AIDSPAN,aidspan,7,1,2,1,1,15262,US-EIN-32-0060251,1,US-EIN-32-0060251,1,1
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,13,1,2,1,1,69061,UG-NGO-3329,1,UG-NGB-3329,1,1
Amnesty International UK Section Charitable Trust,aiuk,1,0,1,1,0,2302,GB-CHC-1051681,1,GB-CHC-1051681,1,1
Asia Justice and Rights,ajar,1,0,1,1,0,90265,ID-DJP-312529852906000,1,ID-DJP-312529852906000,1,1
Aga Khan Foundation Afghanistan,akf_afghanistan,3,1,2,1,1,10071,AF-MOE-138,1,AF-MOE-138,1,1
Aga Khan Foundation (United Kingdom),akfuk73,8,5,2,1,1,190884,GB-COH-1100897,1,GB-COH-1100897,1,1
Commune de Akpro-Missérété - Bénin,akpro-misserete,1,1,2,1,1,85406,BJ-IFU-6201001843703,1,BJ-IFU-6201001843703,1,null
Aktis Strategy Ltd,aktis,6,1,6,5,1,40961,GB-COH-08327972,1,GB-COH-08327972,1,1
Akvo Foundation,akvo,25,1,2,1,1,789005,NL-KVK-27327087,2,NL-KVK-27327087;NL-KVK-41150939,1,null
Al Majmoua,al_majmoua,2,0,1,1,0,8853,LB-MOI-1-100,1,LB-MOI-1-100,1,1
Accountability Lab,alab,3,1,2,1,1,64417,US-EIN-45-4613016,1,US-EIN-45-4613016,1,1
Alcis Holdings Limited,alcis,1,0,1,1,0,2163,GB-COH-5155300,1,GB-COH-5155300,1,1
ONG ALCRER,alcrer-1,1,1,2,1,1,158761,BJ-IFU-6201200599008,1,BJ-IFU-6201200599008,1,null
Alfalit,alfalit,2,0,1,1,0,21737,MZ-MOJ-203D,1,MZ-MOJ-203D,1,null
Alinea International Ltd.,alineainternational_2020,6,1,2,1,1,32691,CA_AB-ABT-203435797,1,CA_AB-ABT-203435797,1,1
Commune de Allada - Bénin,allada,2,1,2,1,1,168604,BJ-IFU-6201501755307,2,BJ-IFU-5200801335602;BJ-IFU-6201501755307,1,null
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,1,1,2,1,1,98592,GB-CHC-1047608,1,GB-CHC-1047608,1,1
All We Can (formerly Methodist Relief and Development Fund),allwecan,2,0,2,2,0,35413,GB-CHC-291691,1,GB-CHC-291691,1,1
Altai Consulting,altai,3,0,1,1,0,5473,AE-HFZA-1526,1,AE-HFZA-1526,1,1
Assistance Mission for Africa,ama-south-sudan,1,0,1,1,0,23379,SS-RRC-465,1,SS-RRC-465,1,1
Amnesty International The Netherlands,amnesty,10,1,2,1,1,115548,NL-KVK-40530953,1,NL-KVK-40530953,2,1;2
Amref Health Africa in Ethiopia,amrefeth,4,1,3,2,1,185417,ET-MFA-0001989741,1,ET-MFA-0001989741,1,1
Amref Health Africa - UK,amrefha,29,1,5,4,1,167599,GB-CHC-261488,1,GB-CHC-261488,1,1
Amref Health Africa Headquarters,amrefhq,4,1,2,1,1,73499,KE-RCO-C1-61,1,KE-RCO-C1-61,1,1
Amref Health Africa in Kenya,amrefkenya,4,1,2,1,1,212867,KE-NCB-93175,1,KE-NCB-93175,1,1
Amref Health Africa Malawi,amrefmw,3,1,2,1,1,181420,MW-NBM-R1527,1,MW-NBM-R1527,1,1
Amref Flying Doctors,amrefnl,82,1,2,1,1,1218056,NL-KVK-41150298,1,NL-KVK-41150298,1,1
Amref Health Africa in Tanzania,amreftz,2,0,1,1,0,27188,TZ-BRLA-4368,1,TZ-BRLA-4368,1,1
Amref Health Africa in Uganda,amrefug,4,1,2,1,1,84897,UG-NGB-5914-252,1,UG-NGB-5914-252,1,1
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,1,1,2,1,1,294355,KE-NCB-OP21805193101154,1,KE-NCB-OP21805193101154,1,1
Akina Mama wa Afrika,amwa,14,1,4,3,1,523405,UG-NGO-3580,1,UG-NGO-3580,2,1;null
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,4,1,2,1,1,188454,BJ-IFU-4201710182326,1,bj-IFU-4201710182326,1,null
The National Association of Municipalities of Benin (ANCB),ancb_benin,24,2,3,1,2,759049,BJ-IFU-6201408024805,4,BJ-IFU-4201710012551;BJ-IFU-6201408024805;NL-KVK-27327087;NL-KVK-41150939,1,null
ANDA,anda,2,0,1,1,0,21763,MZ-MOJ-F30G1No89,1,MZ-MOJ-F30G1No89,1,null
Association for Progressive Communication,apc,27,1,2,1,1,293684,US-EIN-943287156,1,US-EIN-943287156,1,1
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,18,0,11,11,0,354184,BE-BCE_KBO-0415880570,1,BE-BCE_KBO-0415880570,1,1
African Population and Health Research Center,aphrc,1,0,1,1,0,2675,US-EIN-06-1608361,1,US-EIN-06-1608361,1,1
Commune de Aplahoué - Bénin,aplahoue,2,1,2,1,1,160515,BJ-IFU-6201001076902,2,BJ-IFU-6201001076902;BJ-IFU-6201001843703,1,null
Africa Philanthropy Network,apn,1,1,2,1,1,56586,TZ-NNCB-INGOR2000123,1,TZ-NNCB-INGOR2000123,1,1
APOPO,apopo,5,0,1,1,0,32817,BE-BCE_KBO-0464019195,1,BE-BCE_KBO-0464019195,2,1;2
Afghanistan Public Policy Research Organization (APPRO),appro-af,5,1,2,1,1,184684,AF-MOE-1212,1,AF-MOE-1212,1,1
APPRO-Europe,appro-eu,2,1,2,1,1,33702,BE-GTCF-630789842,1,BE-GTCF-630789842,1,1
APT Action on Poverty,apt,5,1,4,3,1,173257,GB-CHC-290836,1,GB-CHC-290836,1,1
Aqua for All,aqua4all,121,0,1,1,0,3498197,NL-KVK-27248417,1,NL-KVK-27248417,2,1;null
AIDS and Rights Alliance for Southern Africa,arasaregional,4,0,1,1,0,69399,NA-NAMRA-04413362,1,NA-COA-04413362,1,1
ABAAD - Resource Center for Gender Equality,arcfge,41,1,2,1,1,385604,LB-MOI-497,1,LB-MOI-497,2,1;2
Académie de recherche et d'enseignement supérieur,ares,22,1,2,1,1,1492793,BE-BCE_KBO-0546740696,1,BE-BCE_KBO-0546740696,1,1
Association for Reproductive and Family Health,arfh,3,1,2,1,1,14791,NG-CAC-5938,1,NG-CAC-5938,1,1
Arab Reporters for Investigative Journalism,arij,1,1,2,1,1,75660,JO-CCD-50544,1,JO-CCD-50544,1,1
ARK (Absolute Return for Kids),ark,2,0,1,1,0,18990,GB-COH-04589451,1,GB-COH-04589451,1,1
ARK Group DMCC,arkgroupdmcc1,1,1,2,1,1,2626,AE-DMCC-23550,1,AE-DMCC-23550,1,2
ARQ International,arq_intl,1,0,1,1,0,2656,NL-KVK-27310568,1,NL-KVK-27310568,1,1
Article19,art19,6,1,5,4,1,251178,GB-CHC-327421,1,GB-CHC-327421,2,1;2
Association de Soutien au Développement des Activités de Population,asdap,3,1,4,3,1,236120,ML-NIF-086108989R,1,ML-NIF-086108989R,1,null
Asian Development Bank,asdb,2653,1,41,40,1,202182571,XM-DAC-46004,1,XM-DAC-46004,1,1
Avocats Sans Frontières,asf,28,1,3,2,1,358671,BE-BCE_KBO-0447404580,1,BE-BCE_KBO-0447404580,2,1;2
Ashoka East Africa,ashoka,1,1,2,1,1,12123,KE-NCB-21805120080955572,1,KE-NCB-OP.218/051/2008/095/5572,1,1
Adam Smith International,asi,18,2,3,1,2,1177486,GB-COH-2732176,1,GB-COH-2732176,1,1
Anti-Slavery International,asil,5,1,2,1,1,148071,GB-CHC-1049160,1,GB-CHC-1049160,2,1;3
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,2,1,2,1,1,8901,NP-SWC-8220,1,NP-SWC-8220,1,1
African Security Sector Network,assn,1,0,1,1,0,15824,GH-DSW-7992,1,GH-DSW-GH-DSW-7992,1,1
African Tax Administration Forum,ataf,2,0,1,1,0,7405,XI-BRIDGE-3665722432,1,ZA-PBO-7270782362,1,1
Access to Medicine Foundation,atmf,5,0,1,1,0,70287,NL-KVK-34185938,1,NL-KVK-34185938,1,1
The Access to Nutrition Foundation,atnf,17,1,2,1,1,676124,NL-KVK-58279199,1,NL-KVK-58279199,1,1
Atos IT Services Ltd,atosuk,3,1,2,1,1,14639,GB-COH-01245534,1,GB-COH-01245534,1,1
Access to Seeds Foundation,atsf,16,0,1,1,0,21531,NL-KVK-70292361,2,NL-KVK-53744993;NL-KVK-70292361,1,1
Australia - Department of  Foreign Affairs and Trade,ausgov,0,0,0,0,0,0,AU-5,0,,0,
AUXFIN Burundi,auxfinbi,9,1,2,1,1,100046,BI-NIF-4000742330,1,BI-NIF-4000742330,1,1
AUXFIN International B.V.,auxfinintl,1,1,2,1,1,37348,NL-KVK-58076573,1,NL-KVK-58076573,1,1
Avanti Communications Plc,ava_admin,1,1,2,1,1,56174,GB-COH-06133927,1,GB-COH-06133927,1,1
Commune de Avrankou - Bénin,avrankou,1,1,2,1,1,78075,BJ-IFU-6201300688700,1,BJ-IFU-6201300688700,1,null
AVSI South Sudan,avsi-ssd,1,1,2,1,1,56789,SS-RRC-140,1,SS-RRC-140,1,1
AVSI FOUNDATION IN UGANDA,avsi_uganda,2,1,2,1,1,302912,UG-NGB-5914-129,2,UG-NGB-5914-129;UG-NGB-UG-NGB-5914-129,1,1
AVT-L Association of Victims of Terrorism Lebanon,avt-l,45,1,2,1,1,99910,LB-MOI-853,1,LB-MOI-853,1,1
Acacia Water,aw,1,1,2,1,1,38198,NL-KVK-24428291,1,NL-KVK-34200988-PMS-154,1,null
Amref health Africa in Senegal,awa_sn,1,0,1,1,0,32546,SN-NINEA-004487121,1,SN-NINEA-004487121,1,1
Awake Travel,awaketravel,1,1,2,1,1,3014,CO-RUE-900619925-0,1,CO-RUE-900619925-0,1,1
African Women's Development Fund,awdf,25,0,1,1,0,279132,GH-DSW-2046,1,GH-DSW-2046,1,1
AWEPA,awepa,10,1,2,1,1,296565,NL-KVK-34106722,1,NL-KVK-34106722,1,1
Association for Women's Rights in Development (AWID),awid,16,1,2,1,1,340187,US-EIN-521291786,1,US-EIN-521291786,1,1
Arab Women Organization of Jordan,awo2022,1,0,1,1,0,29998,JO-MSD-19700011100010,1,JO-MSD-19700011100010,1,1
British Asian Trust,b_a_t,3,0,2,2,0,59847,GB-CHC-1127366,1,GB-CHC-1127366,1,1
British & Irish Agencies Afghanistan Group,baag,1,0,1,1,0,16428,GB-CHC-1135700,1,GB-CHC-1135700,1,1
Benelux Afro Center,bac,5,1,2,1,1,73542,BE-BCE_KBO-0463729878,1,BE-BCE_KBO-0463729878,2,1;2
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,1,1,2,1,1,4252,BD-NAB-0203,1,BD-NAB-0203,1,1
Backward Society Education (BASE),base_22,16,1,2,1,1,36333,NP-DAO-DANG-18-046/47,1,NP-DAO-DANG-18-046/47,1,1
Basel Institute on Governance,basel_institute,2,1,2,1,1,4479,CH-FDJP-CHE-109-991-002,2,Basel Institute on Governance;CH-FDJP-CHE-109-991-002,1,1
BasicNeeds,basicneeds,6,1,6,5,1,45158,GB-CHC-1079599,1,GB-CHC-1079599,1,1
Bees Abroad UK,bauk,1,1,2,1,1,14838,GB-CHC-1108464,1,GB-CHC-1108464,1,1
Babawatoto Centre For Children and Youth,bawacecy-tz,2,0,1,1,0,7034,TZ-TRA-116315386,1,TZ-TRA-116315386,1,1
BBC Media Action,bbcmediaaction,46,1,2,1,1,173718,GB-CHC-1076235,1,GB-CHC-1076235,1,1
Bangladesh Business and Disability Network,bbdn,1,0,1,1,0,3026,XI-IATI-BBDN,1,XI-IATI-IATI-BBDN,1,1
Bboxx,bboxx,1,0,1,1,0,2450,GB-COH-07177839,1,GB-COH-07177839,1,1
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,1,1,2,1,1,15884,MW-CNM-BCM-CF,1,MW-CNM-BCM-CF,1,1
Broederlijk Delen,bd,32,1,17,16,1,857097,BE-BCE_KBO-0418088113,1,BE-BCE_KBO-0418088113,2,1;2
BDO LLP,bdo,3,1,2,1,1,38655,GB-COH-OC305127,1,GB-COH-OC305127,1,1
Belgian Development Cooperation,be-dgd,661,1,5,4,1,7244871,XM-DAC-2-10,1,XM-DAC-2-10,1,1
Bees for Development Trust,beesfordevelopment,2,1,3,2,1,37466,GB-CHC-1078803,1,GB-CHC-1078803,1,1
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,4124,1,40,39,1,34372587,GB-GOV-13,1,GB-GOV-13,1,null
Basil Energetics Private Limited,bepl,6,0,1,1,0,12225,IN-MCA-U74900TN2013PTC093426,1,IN-MCA-U74900TN2013PTC093426,1,1
Berytech Foundation,berytech,2,1,2,1,1,45132,LB-MOI-26_AD,2,LB-MOI-26_AD;XI-PB-26_AD,1,1
BFA Global Kenya Ltd,bfa_global,3,0,1,1,0,8445,KE-KRA-P052188980R,1,KE-KRA-P052188980R,1,1
British International Investment plc,bii,396,1,2,1,1,1154448,GB-COH-03877777,1,GB-COH-03877777,1,1
Bioclimate Research and Development,bioclimate,3,0,1,1,0,10028,GB-SC-044007,1,GB-SC-044007,1,1
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,5,1,3,2,1,100599,BE-BCE_KBO-0478060441,1,BE-BCE_KBO-0478060441,2,1;2
Behavioural Insights Team,bit,1,0,1,1,0,10356,GB-COH-08567792,1,GB-COH-08567792,1,1
Business in the Community,bitc,1,1,2,1,1,4072,GB-CHC-297716,1,GB-CHC-297716,1,1
Burundi Leadership Training Programme,bltp,3,1,2,1,1,97333,BI-NIF-4000450306,1,BI-NIF-4000450306,1,null
Blue Ventures Conservation,blueventures,1,1,2,1,1,10654,GB-CC-1098893,1,GB-CC-1098893,1,1
Bill & Melinda Gates Foundation,bmgf,9174,1,11,10,1,89743620,DAC-1601,1,DAC-1601,1,1
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,964,0,1,1,0,3637978,XI-IATI-IKI,1,XI-IATI-IKI,1,null
Germany - Ministry for Economic Cooperation and Development,bmz,31679,1,146,145,1,238174777,DE-1,1,DE-1,1,1
Bangladesh Nari Progati Sangha,bnps,1,0,1,1,0,19938,BD-NAB-0271,1,BD-NAB-0271,1,null
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,122,0,8,8,0,252241,XM-DAC-46021,1,XM-DAC-46021,1,1
Bond,bond,8,1,2,1,1,115212,GB-CHC-1068839,1,GB-CHC-1068839,1,1
Commune de Bopa - Bénin,bopa,3,1,2,1,1,240770,BJ-IFU-6200901944209,3,BJ-IFU-6200901944209;BJ-IFU-6201001076902;BJ-IFU-6201001843703,1,null
BoP Innovation Center,bopinc,2,1,2,1,1,29346,NL-KVK-50744984,1,NL-KVK-50744984,1,1
